id,dur,proto,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,attack_cat,label,encoded_label
50346,1.024819,0,10,10,820,1148,18.539859,62,252,5761.01709,8071.668945,2,2,113.868778,102.325336,7824.926265,164.719641,255,1972365114,2488109846,255,0.132106,0.07321,0.058896,82,115,1,182,Analysis,1,0
74042,3e-06,1,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
126561,0.455816,0,10,8,840,1216,37.295751,62,252,13268.51172,18674.20117,2,2,50.646222,51.89557,2629.877116,75.586148,255,2853542503,547946547,255,0.080976,0.058011,0.022965,84,152,1,129,Analysis,1,0
103271,1e-05,2,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
49300,0.927914,0,12,8,902,1306,20.476035,62,252,7129.970703,9854.361328,2,2,84.35582,121.39557,4883.215688,172.089266,255,3867829043,1107356147,255,0.111248,0.077449,0.033799,75,163,1,250,Analysis,1,0
56207,7e-06,3,2,0,200,0,142857.1409,254,0,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
117014,1.455709,0,12,8,918,1120,13.052059,62,252,4627.29834,5385.691895,2,2,132.337179,172.88,7516.246732,258.723844,255,555916597,2179560430,255,0.328658,0.221911,0.106747,77,140,1,138,Analysis,1,0
61651,0.163239,4,4,2,536,440,30.629935,254,60,19701.17383,10781.73731,0,0,54.413,0.002,76.941703,0.0,0,0,0,0,0.0,0.0,0.0,134,220,0,0,Analysis,1,0
94278,9e-06,3,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
102030,4e-06,5,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
111016,1.719988,0,10,8,824,1062,9.88379,62,252,3451.187012,4325.611816,2,2,191.109778,234.215578,11794.16544,471.181219,255,1773820940,2451753366,255,0.204752,0.079795,0.124957,82,133,1,128,Analysis,1,0
49293,0.887417,0,10,8,798,1074,19.156721,62,252,6481.73291,8474.032227,2,2,98.601889,106.505,5225.593935,199.072609,255,1693649461,2817680777,255,0.211801,0.125321,0.08648,80,134,1,132,Analysis,1,0
51629,1.104749,0,10,10,808,1236,17.198477,62,252,5271.785645,8059.749512,2,2,122.749889,110.009336,6616.480168,233.824469,255,445151662,1107641663,255,0.199569,0.113676,0.085893,81,124,1,173,Analysis,1,0
81032,9e-06,6,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
51619,0.59023,0,10,8,822,1134,28.802332,62,252,10029.98828,13459.16016,2,2,65.482111,70.46643,3450.051446,122.493336,255,3537180352,2703786970,255,0.228313,0.096957,0.131356,82,142,1,141,Analysis,1,0
49290,0.964047,0,10,10,812,1142,19.708582,62,252,6066.094238,8530.704102,2,2,107.116333,95.973336,7171.80679,154.082875,255,1692783711,1759039922,255,0.117348,0.065469,0.051879,81,114,1,125,Analysis,1,0
74055,9e-06,3,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
74056,7e-06,3,2,0,200,0,142857.1409,254,0,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
49286,0.720712,0,10,8,798,1064,23.587785,62,252,7980.996582,10334.22461,2,2,80.079111,92.15957,4374.793293,139.954156,255,2110372036,2728827886,255,0.159962,0.07495,0.085012,80,133,1,141,Analysis,1,0
157656,0.596994,0,10,8,846,1290,28.475999,62,252,10211.1582,15129.13086,2,2,66.332667,65.934711,3662.835816,110.912047,255,3133725730,3801987818,255,0.15435,0.109311,0.045039,85,161,1,158,Analysis,1,0
90781,4.9e-05,7,2,0,200,0,20408.16393,254,0,16326531.0,0.0,0,0,0.049,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
63283,1.123108,0,10,8,852,1166,15.136567,62,252,5463.410156,7272.675293,2,2,124.780222,149.108141,7481.310297,297.438,255,915760441,2630651523,255,0.129526,0.079343,0.050183,85,146,1,159,Analysis,1,0
123323,1e-06,1,2,0,200,0,1000000.003,254,0,800000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
152638,3e-06,8,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
94296,9e-06,3,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
117049,1.512151,0,10,10,844,1324,12.564883,62,252,4020.762451,6306.248535,2,2,167.908667,160.624562,9906.616587,351.748344,255,722177042,594242496,255,0.155745,0.066524,0.089221,84,132,1,198,Analysis,1,0
59048,5e-06,3,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
83183,3e-06,3,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
117050,9e-06,9,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
105372,9e-06,10,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
136208,5e-06,3,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
94253,0.0,3,2,0,200,0,0.0,254,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
102043,9e-06,11,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
63255,2.185858,0,10,10,850,1248,8.692239,62,252,2799.815918,4113.716309,2,2,242.873111,227.932891,17447.97163,419.985063,255,1875113005,886239243,255,0.260437,0.10554,0.154897,85,125,1,201,Analysis,1,0
74015,4e-06,12,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
57459,8e-06,1,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
50215,1.543292,0,18,18,2272,1226,22.678792,254,252,11124.27148,6002.752441,6,7,90.781882,85.389469,4655.530841,108.261719,255,165345799,4205870067,255,0.09346,0.067838,0.025622,126,68,0,0,Analysis,1,0
163657,0.549638,0,10,8,824,1284,30.92945,62,252,10799.83594,16359.85938,2,2,61.070889,59.418285,3007.451117,93.467805,255,1248808603,3652483305,255,0.1837,0.113365,0.070335,82,161,1,240,Analysis,1,0
94175,4e-06,3,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
114491,1e-05,13,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,Analysis,1,0
59009,0.906794,0,10,8,826,1088,18.747367,62,252,6563.78418,8398.820312,2,2,100.754889,120.32357,5312.740057,176.859672,255,425488115,1438593930,255,0.162249,0.063444,0.098805,83,136,1,141,Analysis,1,0
