id,dur,proto,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,attack_cat,label,encoded_label
60018,0.71502,1,12,8,539,444,26.572683,254,252,5538.306641,4352.325684,2,2,65.001818,94.30843,4036.616408,147.470797,255,1914746660,138581673,255,0.10283,0.024016,0.078814,45,56,0,0,Backdoor,1,1
2647,0.568468,1,14,12,700,818,43.977851,254,252,9147.392578,10554.68457,4,4,41.979999,48.748184,2108.272493,55.822219,255,394608571,1208926780,255,0.062072,0.032235,0.029837,50,68,0,0,Backdoor,1,1
1422,0.01272,128,2,2,76,130,235.849057,254,60,23899.37109,40880.50391,0,0,0.009,0.003,0,0,0,0,0,0,0,0,0,38,65,0,0,Backdoor,1,1
6323,0.174784,1,8,8,364,530,85.82021,62,252,14600.87793,21237.64063,1,2,24.969143,23.211285,1478.089283,37.868648,255,582540523,4002802032,255,0.052384,0.007885,0.044499,46,66,0,0,Backdoor,1,1
59381,0.050087,128,4,2,228,91,99.8263,254,60,27312.47656,7347.21582,0,0,1.116667,0.003,1.564356,0,0,0,0,0,0,0,0,57,46,0,0,Backdoor,1,1
6448,0.295054,1,8,8,364,640,50.838154,254,252,8649.264648,15183.66211,1,2,42.037001,34.16057,2236.848908,46.249461,255,2322020939,1247014223,255,0.086181,0.055927,0.030254,46,80,0,0,Backdoor,1,1
50679,2.303548,1,10,10,472,650,8.248146,254,252,1475.983887,2031.648438,2,2,255.949778,243.676,17393.50472,605.24525,255,3494095675,3454111970,255,0.231125,0.108571,0.122554,47,65,0,0,Backdoor,1,1
57411,0.295772,1,12,8,549,398,64.238673,254,252,13632.12305,9439.704102,3,2,24.934181,39.526715,1341.102232,54.066398,255,2226074508,758808343,255,0.036974,0.019075,0.017899,46,50,0,0,Backdoor,1,1
57509,1.015088,1,10,10,462,530,18.71759,254,252,3278.533691,3759.280029,2,3,112.787556,100.277445,6235.146795,128.83075,255,4086357789,631981598,255,0.167414,0.083718,0.083696,46,53,0,0,Backdoor,1,1
58416,0.35827,1,8,8,364,390,41.867866,254,252,7123.119629,7636.69873,1,2,51.181429,49.05343,3813.633007,108.606398,255,2559062655,3879167536,255,0.025049,0.008298,0.016751,46,49,0,0,Backdoor,1,1
48034,0.393725,1,8,8,364,640,38.097656,254,252,6481.681152,11378.5,1,2,56.246429,51.844855,3357.270604,72.312734,255,3566862660,1891544260,255,0.086638,0.030245,0.056393,46,80,0,0,Backdoor,1,1
52739,0.707859,1,8,8,364,442,21.190661,254,252,3605.237793,4373.752441,1,2,101.112145,95.844141,6404.277901,173.669484,255,2762673202,802311977,255,0.139573,0.03693,0.102643,46,55,0,0,Backdoor,1,1
48053,0.151786,128,2,2,76,122,19.764669,254,60,2002.819824,3215.052734,0,0,0.002,0.008,0,0,0,0,0,0,0,0,0,38,61,0,0,Backdoor,1,1
64260,1.000215,1,12,8,558,564,18.995915,254,252,4095.119385,3951.150391,2,2,90.928638,133.613859,6051.212181,182.806422,255,3460545616,2392017226,255,0.130817,0.064341,0.066476,47,71,0,0,Backdoor,1,1
