id,dur,proto,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,attack_cat,label,encoded_label
44223,0.247985,1,10,8,846,1008,68.552532,254,252,24582.13086,28453.33398,2,2,27.553889,32.545285,1514.682889,60.188102,255,971387154,641439703,255,0.049636,0.005749,0.043887,85,126,1,90,DoS,1,2
44028,59.909866,1,764,380,320116,16340,19.07866,254,252,42690.39844,2176.202393,381,0,78.596627,157.915641,3795.374377,165.401891,255,380768257,930012124,255,0.072579,0.028824,0.043755,419,43,0,0,DoS,1,2
6367,0.287419,1,10,8,952,1882,59.147101,254,252,23853.67773,45842.48047,2,2,31.935444,39.923145,1552.895611,57.132598,255,3926422895,2224782781,255,0.052583,0.007273,0.04531,95,235,1,517,DoS,1,2
44144,54.265602,1,1632,10970,70256,14655417,232.209715,62,252,10351.01367,2160349.25,7,5483,33.27136,4.946539,2112.116277,800.384533,255,3619082811,2061571913,255,0.051315,0.006296,0.045019,43,1336,0,0,DoS,1,2
44101,0.474462,1,8,6,364,268,27.399454,254,252,5378.723633,3776.909424,1,1,67.780288,85.380203,4180.227894,148.380234,255,1429779555,2965817294,255,0.092402,0.046603,0.045799,46,45,0,0,DoS,1,2
44122,59.873299,1,1074,422,450006,18146,24.969394,254,252,60071.78516,2418.841064,535,0,55.982567,142.402797,2722.815115,147.789625,255,381204486,930012124,255,0.072579,0.028824,0.043755,419,43,0,0,DoS,1,2
4352,0.17582,1,12,6,3900,268,96.6898,62,252,162666.375,10192.24219,3,1,14.688182,31.29,890.837807,46.99827,255,645081572,3535433324,255,0.029644,0.019337,0.010307,325,45,1,0,DoS,1,2
65007,36.005539,1,694,4455,30618,6040578,142.978001,62,252,6793.177246,1341843.125,3,2193,51.954734,8.077526,2512.785363,986.459365,255,3442881094,3162022681,255,0.118018,0.036327,0.081691,44,1356,0,0,DoS,1,2
5711,0.180388,1,10,6,468,268,83.154088,254,252,18715.21289,9934.141602,2,1,18.510444,34.686199,989.173613,59.26309,255,4164592323,4213528689,255,0.051704,0.006948,0.044756,47,45,0,0,DoS,1,2
52014,7.638595,1,626,102,840061,4396,95.174569,254,252,878402.375,4558.953613,310,1,12.15696,74.699844,1436.753367,89.911992,255,2497296627,4142670842,255,0.174347,0.093909,0.080438,1342,43,0,0,DoS,1,2
5817,0.274758,1,10,6,451,268,54.593495,254,252,11821.31152,6522.103027,2,1,28.202222,51.766398,1464.738518,83.623781,255,3346400441,4040470511,255,0.08453,0.015918,0.068612,45,45,0,0,DoS,1,2
52346,59.969131,1,782,386,327658,16598,19.460012,254,252,43654.32422,2208.469482,388,0,76.92955,156.000891,3691.137601,162.157516,255,381055539,930012124,255,0.072579,0.028824,0.043755,419,43,0,0,DoS,1,2
52417,0.832463,128,2,2,250,1136,3.603764,254,60,1201.254517,5458.500488,0,0,0.004,0.011,0.0,0.0,0,0,0,0,0.0,0.0,0.0,125,568,0,0,DoS,1,2
52662,0.643158,1,10,8,455,354,26.432073,254,252,5099.835449,3855.973145,2,1,67.361444,85.865859,4601.196569,129.386664,255,1158604956,1365442683,255,0.11436,0.042086,0.072274,46,44,0,0,DoS,1,2
6146,1.103153,1,34,170,1776,217063,184.017994,62,252,12502.3457,1564874.5,2,83,33.428879,6.516559,1733.33578,824.591567,255,2283688795,318000420,255,0.062099,0.007542,0.054557,52,1277,1,104877,DoS,1,2
6142,0.310943,1,12,12,555,594,73.968539,62,252,13095.64746,14021.86231,3,4,28.149091,27.318092,1579.870432,38.019211,255,205890382,2682589097,255,0.022548,0.010435,0.012113,46,50,0,0,DoS,1,2
64977,0.467584,1,10,6,1724,268,32.079796,62,252,26553.51758,3832.466309,2,1,45.557333,76.300203,2391.409635,108.821695,255,264215794,2726339169,255,0.150689,0.086076,0.064613,172,45,0,0,DoS,1,2
6122,0.220155,1,10,8,792,1030,77.218323,62,252,25909.01953,32776.90625,2,2,24.367667,29.888,1348.019541,51.140227,255,446917484,1731519482,255,0.025906,0.010929,0.014977,79,129,1,95,DoS,1,2
53470,57.065807,128,146,148,95286,117906,5.134423,254,60,13266.64844,16417.53711,0,0,391.913531,390.062531,474.380281,459.429531,0,0,0,0,0.0,0.0,0.0,653,797,0,0,DoS,1,2
53462,57.065807,128,146,148,95286,117906,5.134423,254,60,13266.64844,16417.53711,0,0,391.913531,390.062531,474.380281,459.429531,0,0,0,0,0.0,0.0,0.0,653,797,0,0,DoS,1,2
53458,57.065807,128,146,148,95286,117906,5.134423,254,60,13266.64844,16417.53711,0,0,391.913531,390.062531,474.380281,459.429531,0,0,0,0,0.0,0.0,0.0,653,797,0,0,DoS,1,2
9705,59.686649,1,548,356,263040,15308,15.129011,254,252,35191.78906,2046.018677,274,0,109.433304,168.464703,5739.422178,187.021562,255,2263928505,463094449,255,0.12066,0.080372,0.040288,480,43,0,0,DoS,1,2
9702,59.78484,1,816,386,389952,16608,20.088705,254,252,52116.89063,2216.615479,407,1,73.35563,154.929812,3539.136035,162.603922,255,2263749864,463094449,255,0.12066,0.080372,0.040288,478,43,0,0,DoS,1,2
64279,8.370166,1,622,108,825227,4654,87.095049,254,252,787464.4375,4407.081055,308,1,13.478528,77.398461,1541.07545,96.764922,255,2766028323,1097503407,255,0.1507,0.058532,0.092168,1327,43,0,0,DoS,1,2
9535,0.445834,1,8,6,364,268,29.158834,254,252,5724.103516,4019.433105,1,1,63.574286,79.949797,4215.310592,153.420281,255,1689714573,2308933716,255,0.092382,0.046076,0.046306,46,45,0,0,DoS,1,2
12163,0.585478,1,10,8,986,1758,29.036103,254,252,12133.67481,21028.9707,2,2,65.002333,76.651859,3456.525501,129.352711,255,271953620,834459997,255,0.106679,0.048909,0.05777,99,220,1,476,DoS,1,2
9968,21.756893,1,434,156,208320,6708,27.07188,254,252,76422.67969,2450.717529,216,0,50.297789,140.277469,2459.541477,144.795266,255,2264565625,463094449,255,0.12066,0.080372,0.040288,480,43,0,0,DoS,1,2
10106,0.4017,1,8,6,364,268,32.36246,254,252,6353.0,4461.040527,1,1,57.385714,69.231,3605.723843,132.513563,255,3550819412,2885196489,255,0.095061,0.047601,0.04746,46,45,0,0,DoS,1,2
12669,0.618503,1,14,8,8344,1014,33.952949,62,252,100216.1719,11485.79785,4,2,47.577153,70.48957,2795.686926,109.800297,255,4190375972,1903692194,255,0.204901,0.124248,0.080653,596,127,1,109,DoS,1,2
64564,59.954037,1,898,5902,39070,7862186,113.40354,62,252,5207.589355,1048917.375,2,2950,66.838415,10.148997,3210.717632,1251.979972,255,2581305978,3985066016,255,0.084345,0.029881,0.054464,44,1332,0,0,DoS,1,2
9236,0.351321,1,10,8,758,894,48.388794,62,252,15552.72754,17829.84766,2,2,39.035667,42.885145,2079.227832,78.862664,255,1251147941,2219263774,255,0.101697,0.050318,0.051379,76,112,1,44,DoS,1,2
13724,0.221942,1,10,8,1050,1184,76.596591,254,252,34062.95313,37343.08984,2,2,24.660222,29.874857,1333.166717,53.394562,255,270645920,3481184826,255,0.052603,0.007275,0.045328,105,148,1,159,DoS,1,2
61804,3.6e-05,128,2,0,216,0,27777.7768,62,0,24000000.0,0.0,0,0,0.036,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,108,0,0,0,DoS,1,2
9116,0.709645,1,18,16,2382,1152,46.502126,62,252,25364.79688,12175.10254,6,6,41.743824,45.021602,2100.37911,55.887555,255,1402067596,4075437351,255,0.042315,0.024701,0.017614,132,72,0,0,DoS,1,2
9198,0.570647,1,10,10,874,1432,33.29554,254,252,11033.09082,18070.7168,2,2,63.405222,55.762332,4201.608558,109.489977,255,85014912,3158502237,255,0.103091,0.053202,0.049889,87,143,1,254,DoS,1,2
10710,59.686649,1,548,356,263040,15308,15.129011,254,252,35191.78906,2046.018677,274,0,109.433304,168.464703,5739.422178,187.021562,255,2263928505,463094449,255,0.12066,0.080372,0.040288,480,43,0,0,DoS,1,2
11390,59.82692,1,1174,430,563520,18490,26.793959,254,252,75289.1875,2466.715576,586,0,51.003273,139.318516,2485.52676,143.801312,255,2264661104,463094450,255,0.0,0.0,0.0,480,43,0,0,DoS,1,2
11392,0.265231,1,10,8,844,1430,64.095069,254,252,22923.41211,37763.30469,2,2,29.470111,43.030668,1457.24025,55.153898,255,947945361,1806275351,255,0.050572,0.006328,0.044244,84,179,1,289,DoS,1,2
11360,59.997478,1,900,402,432000,17286,21.684245,254,252,57538.41797,2299.16333,449,0,66.798998,149.753578,3316.869888,155.976687,255,2264367625,463094449,255,0.12066,0.080372,0.040288,480,43,0,0,DoS,1,2
10748,59.997478,1,900,402,432000,17286,21.684245,254,252,57538.41797,2299.16333,449,0,66.798998,149.753578,3316.869888,155.976687,255,2264367625,463094449,255,0.12066,0.080372,0.040288,480,43,0,0,DoS,1,2
11321,59.995304,1,676,380,324480,16340,17.58471,254,252,43203.38281,2173.103516,337,0,89.158479,158.619234,4538.320719,171.409219,255,2264049065,463094449,255,0.12066,0.080372,0.040288,480,43,0,0,DoS,1,2
11342,59.977112,1,772,390,370560,16770,19.357384,254,252,49362.83203,2231.117676,386,0,77.844442,154.078391,3679.166976,159.734406,255,2264197785,463094449,255,0.12066,0.080372,0.040288,480,43,0,0,DoS,1,2
11345,59.977112,1,772,390,370560,16770,19.357384,254,252,49362.83203,2231.117676,386,0,77.844442,154.078391,3679.166976,159.734406,255,2264197785,463094449,255,0.12066,0.080372,0.040288,480,43,0,0,DoS,1,2
