encoded_label,duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle
5,14999343,158,2,88813,40221,18360.22059,17003.13946,6026.351958,5941.35848,113.338298,15563.08166,2,37983,8828.33608,5131.370213,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,72407,161,5,45781,25839,18101.75,8779.0,22136.58286,14776.40807,124.297375,44429.406,5,45676,9050.875,17315.51867,-1,0.0,-1,0.0,-1,0.0,-1,0.0
2,13596,-1,13596,-1,13596,0.0,13596.0,0.0,0.0,220.653133,9120.329509,192,13404,6798.0,9342.29474,-1,0.0,-1,0.0,-1,0.0,-1,0.0
7,174418,-1,-1,-1,-1,0.0,0.0,0.0,0.0,11.466706,493.068376,174418,174418,174418.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
7,14864385,695,2725,3732910,3524384,659081.6364,619345.6667,897157.1129,854654.412,3.229195,433.25035,15,3524384,316263.5106,644355.3669,3292341,4130788.667,4989368,848692.5961,1519138,2482441.667,3524384,1004933.286
11,14984762,3831,66,26533,23151,19925.68351,19895.4077,1919.378166,1588.118453,100.568831,11508.49109,4,20537,9950.041169,7162.551998,-1,0.0,-1,0.0,-1,0.0,-1,0.0
11,10078266,10039548,10039447,10039548,10039447,10000000.0,10000000.0,0.0,0.0,0.396894,21.432258,38718,10000729,3359422.0,5751540.577,10039548,10000000.0,10039548,0.0,10000729,10000000.0,10000729,0.0
8,14967290,42,47,1310368,1171089,264184.5179,176085.7647,298516.7312,223578.9237,9.554168,1666.433937,14,1040700,105403.4507,171913.467,14659242,14700000.0,14659242,0.0,1040700,1040700.0,1040700,0.0
5,14996189,7,90,100685,481775,30356.6579,313447.8261,13984.37755,154993.1056,36.142516,7906.542122,7,100685,27719.38817,15495.86872,-1,0.0,-1,0.0,-1,0.0,-1,0.0
7,9171056,2181,2201,8242133,8443514,1488356.0,1834211.2,3309505.699,3696454.722,1.417503,196.923888,14,8242133,764254.6667,2356584.763,8969689,8969689.0,8969689,0.0,8242133,8242133.0,8242133,0.0
7,13639451,152,119,5173211,5170062,1239949.182,1136617.917,1572974.117,1504592.706,1.832918,257.195103,10,4963983,568310.4583,1136156.565,2119903,3306588.75,5858210,1732682.69,1133252,2543066.0,4963983,1812827.019
