encoded_label,duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle
6,13638451,648,47,9997407,10273212,1246058.667,1670470.25,3284960.533,3547690.177,1.39312,363.237731,18,9997407,757691.7222,2359109.541,2423923,6819225.5,11214528,6215896.406,2148182,6072794.5,9997407,5550240.225
8,9684776,171,405351,4194637,3988332,1325664.143,2321266.0,1765833.072,1838357.391,1.342313,84.152695,31,3988332,807064.6667,1391654.591,3897555,4639712.5,5381870,1049569.202,3497812,3743072.0,3988332,346850.0183
11,14999214,46,9,34939,40790,17563.48244,17314.15607,5486.256261,6397.931512,114.739346,15488.34492,9,22178,8720.473256,5348.83076,-1,0.0,-1,0.0,-1,0.0,-1,0.0
2,14747116,2,14950,941712,2165352,735.884032,987349.6667,14240.02057,1089844.729,1359.248819,56603.74544,2,941712,735.737178,14238.35915,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,14993754,3,3,9591012,9591446,598741.04,453595.6061,2085152.732,1824495.35,4.001666,1196.364833,3,9565998,254131.4237,1369377.665,5019014,7484256.5,9949499,3486379.378,4577512,7071755.0,9565998,3527392.278
2,10054845,51702,50095,8381940,8431479,3351405.0,3351070.0,4426629.739,4465051.899,0.795636,37.494362,528,8381412,1436406.429,3116583.608,1571636,5002375.0,8433114,4851797.623,1571108,4976260.0,8381412,4815612.14
0,11423485,1,2,9670245,9670140,356198.8125,271356.3571,1705390.119,1490631.112,6.652961,1774.152109,1,9645030,152313.1333,1114516.203,9933881,9933881.0,9933881,0.0,9645030,9645030.0,9645030,0.0
7,14072702,27,27,4624447,4586646,250611.5893,206949.75,706235.5187,636637.2382,8.953504,3780.723844,8,4586480,112581.616,478511.1549,2788368,4210840.0,6719327,2178917.415,1143764,2749170.333,4586480,1733034.256
0,14821210,40,1072,6998450,7078224,547101.4815,780056.7895,1565762.164,1844211.657,3.238602,837.515965,15,6998450,315344.8936,1201748.797,1898428,4704777.667,7470373,2786196.055,1247799,4241114.333,6998450,2882578.973
2,13062817,3052404,3055787,10006488,6952748,6529446.0,5004267.5,4917279.953,2755567.549,0.459319,20.669355,542,6952206,2612563.4,2865669.493,3054282,4354272.333,6952748,2250346.064,3051862,4352783.333,6952206,2251166.39
5,14997191,15653,106,26521,96086,19996.25467,19989.45127,2713.108931,5021.716874,100.085409,11109.48044,10,25199,9998.127333,5447.966117,-1,0.0,-1,0.0,-1,0.0,-1,0.0
8,14694208,68,14712,2546021,2814915,474005.4194,563628.4231,608218.8969,522593.2643,4.015187,314.13738,20,2546021,253348.4138,411456.3049,1689684,4882230.0,10407265,4804105.882,1156969,1641717.0,2546021,783828.2928
5,14998000,1,72,26870,25804,19228.20513,19236.06162,3373.232087,4361.945213,104.080544,11228.89719,1,22381,9614.102564,5511.823263,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,14794840,10,0,591031,681691,8532.185698,2596.94699,34137.97587,20165.78404,502.404893,539856.7338,0,591031,1990.694295,15949.57769,-1,0.0,-1,0.0,-1,0.0,-1,0.0
8,14881075,14,29,745879,1077261,96630.35714,113267.8372,135644.8563,143186.8374,19.151842,3806.311036,0,609144,52398.15141,93537.57876,-1,0.0,-1,0.0,-1,0.0,-1,0.0
10,14999357,16,7,170008,175524,1637.971388,822.96483,10190.24109,7883.844916,1825.74493,1684187.662,0,169957,547.741637,5821.426842,-1,0.0,-1,0.0,-1,0.0,-1,0.0
11,14440595,959384,959124,961267,961230,960102.2667,960085.9333,443.567351,556.434692,2.215975,310.236524,39029,922169,465825.6452,447913.1205,-1,0.0,-1,0.0,-1,0.0,-1,0.0
6,14982456,217047,14768016,14765409,14768016,7491228.0,14800000.0,10300000.0,0.0,0.333724,109.861828,55,14551024,3745614.0,7204323.909,14765409,14800000.0,14765409,0.0,14551024,14600000.0,14551024,0.0
0,14137201,78,1,9880378,9880499,328767.7442,257035.3818,1509362.092,1338195.178,7.073536,2206.44808,1,9880292,142800.0101,1001552.611,9999889,9999889.0,9999889,0.0,9880292,9880292.0,9880292,0.0
6,14044232,46,18,2464267,2464190,216059.4769,146291.1979,482879.5033,405558.8491,11.606188,2060.561233,18,2463861,86692.79012,319027.8745,1417686,2778730.4,4686470,1339447.254,1212323,1660848.8,2463861,502556.1399
6,211089,27,19,61621,109373,13284.54546,15462.75,19566.98685,31652.52999,118.433457,33483.50696,13,64959,8795.375,15520.17044,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,3601423,16,18,3160679,3160641,400158.1111,489732.4286,1037495.722,1179482.59,4.998024,1700.716633,5,3160630,211848.4118,761530.0117,3413395,3413395.0,3413395,0.0,3160630,3160630.0,3160630,0.0
