0,duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle
1,14788808,69,-1,13979312,-1,1232400.667,0.0,4015903.522,0.0,0.946662,112.720376,69,13849018,1137600.615,3820944.298,13979312,14000000.0,13979312,0.0,13849018,13800000.0,13849018,0.0
1,10557770,11,1,282823,10000696,96011.33333,1313231.625,100486.5577,3512096.032,1.515472,701.095023,1,9981702,703851.3333,2567639.799,10557770,10600000.0,10557770,0.0,9981702,9981702.0,9981702,0.0
0,13114309,32,12,12621624,12621316,1457145.444,1176649.364,4187135.409,3796103.714,1.677557,676.20795,12,12621268,624490.9048,2749139.696,12918866,12900000.0,12918866,0.0,12621268,12600000.0,12621268,0.0
1,13068483,74,104,2113484,2113476,933461.2143,1089038.0,800470.9434,790226.4985,2.142559,382.293798,18,2113458,484017.8889,733594.2644,1973350,2613691.2,4048763,874873.5625,1025390,1840089.4,2113458,458418.0877
0,13774441,421,24,10004717,10004444,443520.7097,280599.551,1795261.912,1434350.33,5.953055,1013.398656,13,9979314,170054.8272,1116358.339,2112757,6675488.0,11238219,6452676.062,1366738,5673026.0,9979314,6090010.893
1,14636067,15,14,11823866,11886231,346977.6667,261358.3393,1819114.042,1585913.363,6.832437,1177.57045,8,11823866,147839.0606,1188575.168,11860761,11900000.0,11860761,0.0,11823866,11800000.0,11823866,0.0
1,10280983,24,41,2069127,2069296,227609.8444,177254.6207,446854.6624,391073.9503,10.213031,4260.876611,9,2069093,98855.60577,302975.8899,2378957,3327213.667,4053044,858921.9558,1376576,1744210.0,2069093,348232.2283
0,11597347,0,81,3468261,3443013,578589.45,644226.2778,1005770.732,1041233.525,3.449065,1071.020812,0,3442685,297367.8718,762159.3634,1947199,2851541.75,3692521,756044.0438,1719268,2400937.5,3442685,781827.4782
1,14979375,1,7,7313474,7313530,743432.8,499312.5,1948742.965,1616000.242,3.47144,955.780865,1,7288098,293713.2353,1249557.442,2557601,4960108.667,7383874,2413206.722,2454344,4856848.667,7288098,2417005.198
1,14998316,93,17,35262,36470,18158.63515,17276.62097,5122.311672,6054.304519,113.012688,15401.9958,8,22456,8853.787485,5813.248874,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,14987580,30,15,32805,44419,18255.27406,17337.98495,5525.127695,7217.186815,112.559866,14940.03702,7,28937,8889.430605,6115.417757,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,10483342,8,1,169617,10010878,83146.66667,1490443.286,77264.51479,3757951.667,1.430841,706.358717,1,9984462,748810.1429,2658667.634,10483342,10500000.0,10483342,0.0,9984462,9984462.0,9984462,0.0
0,14701087,20,5,5881392,5932194,284572.902,341885.7442,889248.0281,946533.6678,6.530129,2336.970049,5,5881355,154748.2842,649646.5903,2757283,4248801.333,6270335,1815508.408,1297996,3043251.333,5881355,2479421.917
1,4745268,213,233198,4512048,4512070,2256130.5,2372634.0,3190349.124,3025619.407,1.264418,379.11452,24,4512024,949053.6,1994311.772,4512070,4512070.0,4512070,0.0,4512024,4512024.0,4512024,0.0
0,105,105,-1,105,-1,105.0,0.0,0.0,0.0,19047.61905,761904.7619,105,105,105.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,13102355,46,1,6823020,6771524,524079.96,422616.6452,1459464.113,1316161.565,4.426685,1502.47799,1,6771524,229865.8772,984470.6821,1978931,3245629.5,6877503,2422188.618,1869754,3152487.5,6771524,2414520.694
0,30125659,4,5,16884,30034557,1059.383721,255186.5169,2972.858366,2764844.933,6.838025,11099.77378,2,30034552,146954.4341,2097673.718,30125659,30100000.0,30125659,0.0,30034552,30000000.0,30034552,0.0
1,14415896,9,14,5841665,5880854,305345.8511,228823.746,1078321.996,942711.5601,7.769201,1435.845542,9,5841625,129872.9369,710781.8831,3995099,4685686.0,5880854,1039215.795,2688412,4172078.0,5841625,1584803.415
0,13793718,158,142,7485928,7857899,1149445.667,1149365.167,2047864.136,2166315.05,1.884916,144.631056,142,7485622,551748.72,1503934.115,1402340,3447008.5,8285516,3240092.194,1030063,2753854.75,7485622,3156212.809
0,78,78,-1,78,-1,78.0,0.0,0.0,0.0,25641.02564,1025641.026,78,78,78.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,12987104,13,3,2638446,2765733,59032.29091,45275.5669,191887.4859,173022.9034,38.961727,33458.80652,3,2630914,25717.03762,125258.1038,5921753,5921753.0,5921753,0.0,2630914,2630914.0,2630914,0.0
1,727331,89,54,171035,179499,51939.71429,29753.3,71132.0229,60327.77272,49.496034,28130.24606,5,170989,20780.88571,49653.12175,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,13405344,254,61357,8077720,7901677,837834.0,952231.5,1980081.579,2016936.887,2.387108,146.210347,15,7763538,432430.4516,1384915.842,13267156,13300000.0,13267156,0.0,7763538,7763538.0,7763538,0.0
0,14230956,5,18,2851227,2897302,233294.3607,206449.2059,541049.6958,533929.945,9.205285,4326.483758,5,2839039,109468.8923,380835.5119,1404766,2308594.167,3504902,749668.6591,1032667,1686278.0,2839039,747657.6078
1,128508,8,15,27215,29307,8548.5,7302.357143,12216.90898,11862.9669,217.885268,61856.07122,8,26546,4759.555556,9771.247018,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,219705,45,55,217462,533,19973.18182,225.1,65499.84242,173.559436,104.685829,72460.79971,11,217440,9986.590909,46335.60275,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,1405534,67,1063,151910,199866,77387.05556,140467.2,59723.38574,88930.67743,21.344201,1487.690799,33,151910,48466.68966,58800.64022,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,14997352,154,2,38717,42088,18322.91932,17042.00341,5247.968282,5940.421167,113.286666,15482.33315,2,22128,8832.36278,6045.882236,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,59,-1,-1,-1,-1,0.0,0.0,0.0,0.0,33898.30509,9593220.339,59,59,59.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,174051,5,3,29303,66360,9809.636364,13474.36364,13405.47266,21061.445,137.890618,27813.68679,3,66145,7567.434783,16081.35058,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,96,96,-1,96,-1,96.0,0.0,0.0,0.0,20833.33333,833333.3333,96,96,96.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,9154790,77,1,2902420,2903264,199013.587,157839.1379,503412.1436,454715.7062,11.578638,3516.519767,1,2902088,87188.47619,345553.0213,6981026,6981026.0,6981026,0.0,2902088,2902088.0,2902088,0.0
0,442744,1052,437,245051,191789,30936.38462,31451.85714,67140.63625,52144.88761,65.500605,8180.79974,45,191789,15812.28571,38209.72527,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,849169,168,39985,306871,230090,212292.25,116409.6,142430.2025,101859.0222,12.953841,1707.551736,22,229900,84916.9,100473.2318,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,14993333,23,8,146129,106697,44737.25749,17413.85947,24555.53056,7751.609666,79.835484,12654.69126,8,59297,12536.23161,7607.166962,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,10104621,1312,137,53127,10000019,34878.0,2513623.75,29105.95167,4990988.897,0.890682,377.055211,32,9999987,1263077.625,3530316.433,10104621,10100000.0,10104621,0.0,9999987,9999987.0,9999987,0.0
1,14993654,49,28,6621270,13281080,1120452.308,4569938.667,1986913.645,7547113.96,1.200508,171.539239,28,6621270,881979.6471,1755658.146,1074193,3429130.5,6621924,2337075.821,1073535,3372703.25,6621270,2341965.792
1,457674,14,18949,250627,205892,114418.5,112420.5,133290.9343,132188.663,17.479691,14016.52705,14,206565,65382.0,96598.82204,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,14531797,16,12,14217477,14152575,1614644.111,1033325.071,4726530.557,3776253.217,1.720365,318.680477,12,14152575,605491.5417,2885744.262,14492152,14500000.0,14492152,0.0,14152575,14200000.0,14152575,0.0
1,13673836,40,19,4860022,4859712,427307.375,289354.8511,1123745.861,920888.0343,5.923722,1028.972411,19,4859667,170922.95,716774.2587,1417631,3368131.25,5732856,1898509.858,1265445,2936777.5,4859667,1627047.412
0,14992954,101,3,37891,41976,18322.41809,17041.7793,5377.328013,5996.996002,113.319897,15102.36075,3,21868,8829.772674,6358.419315,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,14332880,0,25,7720935,7637220,502458.4286,393822.75,1507385.718,1317786.279,4.604797,222.076791,0,7492477,220505.8462,968082.9239,3052198,6198164.5,9344131,4449068.491,2427493,4959985.0,7492477,3581484.533
0,11173479,60318,73789,9305980,9226508,2793369.75,2773048.0,4360301.297,4320223.616,0.894976,98.178911,65,9226508,1241497.667,3014314.081,9247542,9247542.0,9247542,0.0,9226508,9226508.0,9226508,0.0
0,12094550,99,2,3471032,3419939,345553.8571,268756.8667,782926.4163,699795.9561,6.779913,2005.614099,2,3419939,149315.4321,533943.4494,2015209,3840770.0,4985744,1597941.972,1320608,2540230.333,3419939,1090162.207
0,1533718,117,1,1158678,1246867,240928.3333,240903.8333,451445.8107,495224.4385,9.128145,4762.283549,1,1158678,117978.3077,315447.6682,1445570,1445570.0,1445570,0.0,1158678,1158678.0,1158678,0.0
1,6320,25,-1,6295,-1,3160.0,0.0,4433.559405,0.0,474.683544,29588.6076,25,6295,3160.0,4433.559405,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,474475,43,14163,256264,217262,118618.75,115712.5,137785.0626,143612.6801,16.860741,13522.31414,43,216911,67782.14286,101992.0566,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,13092354,52,2,2664757,2613486,290938.2444,225724.1034,670607.0426,601150.5639,8.019948,2432.030176,2,2613486,125888.0192,458695.9357,2000456,2595698.6,2988267,438371.3699,1732544,2056281.8,2613486,365546.8012
1,10198962,40,235,6294784,6294785,1133215.222,1274866.875,2023928.977,2148912.751,1.862935,91.970144,19,6294755,566609.0,1504306.06,1091581,3340795.333,6294784,2672238.857,1054266,3055591.667,6294755,2831053.303
