encoded_label,duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle
4,14960299,2,8,2466493,2470999,16173.25405,23822.09873,104827.9857,126217.8471,103.941773,114378.8637,2,2338375,9626.962033,74994.9619,3748053,7179981.0,10611909,4853479.123,1109584,1723979.5,2338375,868886.4488
2,10406935,406509,350455,10000426,10000724,5203467.5,5175589.5,6783923.769,6823770.65,0.576539,25.944238,164,9649807,2081387.0,4233998.343,10000426,10000000.0,10000426,0.0,9649807,9649807.0,9649807,0.0
4,30125659,4,5,16884,30034557,1059.383721,255186.5169,2972.858366,2764844.933,6.838025,11099.77378,2,30034552,146954.4341,2097673.718,30125659,30100000.0,30125659,0.0,30034552,30000000.0,30034552,0.0
10,6539908,6539908,-1,6539908,-1,6539908.0,0.0,0.0,0.0,0.305815,15.902364,6539908,6539908,6539908.0,0.0,6539908,6539908.0,6539908,0.0,6539908,6539908.0,6539908,0.0
0,14786927,33,49,2789537,3007479,1232239.083,1999554.667,1225671.776,1266044.822,1.352546,625.146794,12,2789537,778259.3158,1136216.583,2768176,2957385.4,3016825,106008.455,1762728,2571923.8,2789537,452441.3628
6,10104621,1312,137,53127,10000019,34878.0,2513623.75,29105.95167,4990988.897,0.890682,377.055211,32,9999987,1263077.625,3530316.433,10104621,10100000.0,10104621,0.0,9999987,9999987.0,9999987,0.0
3,14520688,356,58,8332114,8396156,537797.0,345337.0476,1631439.032,1335641.811,4.889575,320.645964,28,8332114,207438.4,1033643.362,3569468,6154505.0,8739542,3655794.385,2600839,5466476.5,8332114,4052623.417
2,84392,188,173,77773,39287,10530.875,8391.7,27177.57248,16034.3667,236.989288,40726.60916,34,39287,4441.684211,12114.8957,-1,0.0,-1,0.0,-1,0.0,-1,0.0
10,1236985,1236985,-1,1236985,-1,1236985.0,0.0,0.0,0.0,1.616834,84.075393,1236985,1236985,1236985.0,0.0,1236985,1236985.0,1236985,0.0,1236985,1236985.0,1236985,0.0
0,132364,59,3,27751,31604,7144.0,7546.071429,11042.66708,11978.89039,234.202653,62751.20123,3,26719,4412.133333,9006.426695,-1,0.0,-1,0.0,-1,0.0,-1,0.0
7,172710,-1,-1,-1,-1,0.0,0.0,0.0,0.0,11.580105,497.944531,172710,172710,172710.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
7,59,-1,-1,-1,-1,0.0,0.0,0.0,0.0,33898.30509,2322033.898,59,59,59.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
2,14495355,214,1,5360364,5359145,2415892.5,2407495.833,2413943.62,2407408.781,0.965827,48.36032,1,5359145,1115027.308,1991342.47,3871519,4815212.0,6160199,1195948.03,3871213,4547871.667,5359145,753044.6471
0,7867871,37,8,3399789,3399005,354671.5909,196696.775,863747.1422,655998.6696,8.134348,955.277482,8,3373797,124886.8413,523669.5354,2705311,3853643.5,5001976,1623987.396,2352687,2863242.0,3373797,722033.8053
0,14628384,241659,192589,6365318,6365951,1803592.0,2404830.5,2214353.621,2282384.949,1.093764,448.579966,38,6165917,975225.6,1733409.166,2060102,3607245.75,6365951,2036883.884,1088415,3185619.75,6165917,2259891.859
1,2355848,713,76,1972638,2047794,261760.8889,325615.7143,642125.1918,759805.4207,7.640561,930.450521,44,1972638,138579.2941,473258.5058,2169338,2169338.0,2169338,0.0,1972638,1972638.0,1972638,0.0
2,41,-1,-1,-1,-1,0.0,0.0,0.0,0.0,48780.48781,2707317.073,41,41,41.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,172132,-1,-1,-1,-1,0.0,0.0,0.0,0.0,11.61899,499.616573,172132,172132,172132.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,11003717,2,2,8237100,8197291,296722.0811,219546.08,1363973.727,1170570.404,8.088176,1956.975084,2,8172212,125042.2386,881903.6464,1737309,5019475.5,8301642,4641684.378,1454698,4813455.0,8172212,4749999.702
0,30507,30507,-1,30507,-1,30507.0,0.0,0.0,0.0,98.338086,92470.58052,2006,28501,15253.5,18734.79414,-1,0.0,-1,0.0,-1,0.0,-1,0.0
3,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
