0,duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle
0,14992204,159,1,41734,42020,18319.4401,17051.05461,5461.112646,6059.614276,113.325566,15480.57911,1,40898,8829.330978,5503.865638,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,13376033,3351838,3355235,6656970,10020512,5004404.0,6687873.5,2337081.25,4713062.565,0.448563,20.035836,286,6653287,2675206.6,2786292.106,3355235,4458582.333,6653287,1900679.45,3351552,4457354.667,6653287,1901749.332
0,14421386,960273,959044,962014,963165,961385.8,961330.0,612.251664,978.854177,2.218927,248.519802,489,961431,465206.0,487567.9266,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,14981611,257,3,36276,33213,19054.14758,19180.0064,4299.507003,3536.806849,104.72839,12170.32,1,31983,9554.598852,6411.703039,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,10077556,10038964,10038322,10038964,10038322,10000000.0,10000000.0,0.0,0.0,0.396922,21.433768,38592,9999730,3359185.333,5750880.385,10038964,10000000.0,10038964,0.0,9999730,9999730.0,9999730,0.0
1,167052,5,15,140876,115256,28375.6,20220.71429,62890.86167,42935.76297,83.80624,22926.99279,5,115256,12850.15385,32173.27051,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,1045723,845,58,466959,419659,90760.36364,71338.92857,126735.1255,103903.6839,25.819457,4027.835287,48,419659,40220.11539,82668.27769,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,972348,114,55,271721,274318,92365.375,83358.77778,127215.8834,119755.3872,19.540329,6849.399598,8,271699,54019.33333,100718.3547,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,11628927,6,10,7122669,7186162,268971.6977,215350.5,1163006.095,1048571.35,8.513253,1596.707934,6,7122669,118662.5204,775447.3821,4123188,5641848.0,7160508,2147709.569,2968447,5045558.0,7122669,2937478.547
0,11108604,72,19,4028208,5001113,678634.6667,1110860.4,1356438.516,1866934.154,1.890427,703.68878,19,4950059,555430.2,1388206.908,1603516,3640124.0,4950059,1787701.807,1552462,3493259.0,4950059,1749744.6
0,14425580,959915,959639,962593,963357,961666.2667,961660.8,791.231858,1106.203269,2.218282,248.447549,519,962054,465341.2903,487682.8005,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,3023019,218,29,912989,763630,240166.4167,169432.3529,280414.6513,189298.0639,10.254649,1414.149233,29,763630,100767.3,162655.9344,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,195135,9,26,26987,65756,14506.88889,14104.0,11594.7928,23101.08285,117.867118,41150.99803,9,64573,8869.772727,15921.59576,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,228643,14,6,83890,66167,27198.66667,18454.90909,35918.9078,24770.7426,83.09898,29014.66478,2,65451,12702.38889,20757.29353,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,27340,1392,1,22350,1387,9113.333333,238.333333,11516.23275,562.921368,402.340892,337271.3972,1,22350,2734.0,6985.25408,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,14076220,6,16,13907675,13907669,1399772.9,1564024.444,4394867.956,4628997.036,1.491878,391.653441,6,13907644,703811.0,3107929.25,13907669,13900000.0,13907669,0.0,13907644,13900000.0,13907644,0.0
1,10077497,10038640,10038804,10038640,10038804,10000000.0,10000000.0,0.0,0.0,0.396924,21.433894,38693,9999947,3359165.667,5751085.336,10038640,10000000.0,10038640,0.0,9999947,9999947.0,9999947,0.0
1,2176462,262,242149,581961,532430,273149.5714,318044.5,227912.4137,107623.2839,6.891919,642.78632,16,532359,155461.5714,170333.0746,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,14991436,98,2,39412,48099,18387.74479,16989.86054,5273.228972,6249.715462,113.331371,15536.47029,2,34696,8828.878681,5069.663542,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,164148,7,43,26869,65895,8197.833333,13732.3,12048.99703,21350.35244,146.209518,33908.42411,7,65774,7136.869565,15756.3169,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,14462895,46,41,571373,925694,100436.7708,115012.9839,136962.0961,148720.0021,18.668462,2284.743131,15,571373,53765.40892,90699.85034,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,130700,-1,-1,-1,-1,0.0,0.0,0.0,0.0,15.302219,703.902066,130700,130700,130700.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,14381094,137904,819,3639227,3639281,532631.0,410887.3429,845464.4604,749965.3238,4.450287,509.349289,19,3639167,228271.3333,590058.0978,2399402,3443553.75,5867430,1629756.685,1713801,2309968.5,3639167,904257.4423
1,10077005,10038515,10038464,10038515,10038464,10000000.0,10000000.0,0.0,0.0,0.396943,21.43494,38490,9999974,3359001.667,5751250.747,10038515,10000000.0,10038515,0.0,9999974,9999974.0,9999974,0.0
1,14426853,142916,191,4092557,3808028,793789.3333,577074.12,1266783.881,1022337.075,3.119183,337.911532,21,3808028,327883.0227,809727.1319,3918758,4608284.333,5503396,812076.5941,1505681,3031480.0,3808028,1321451.181
1,916,916,-1,916,-1,916.0,0.0,0.0,0.0,2183.406114,87336.24454,916,916,916.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,5646277,9,32,4240621,4240702,344367.75,513297.9091,1058483.071,1248701.299,5.136128,1403.756847,9,4240607,201652.75,801205.3646,4460079,4460079.0,4460079,0.0,4240607,4240607.0,4240607,0.0
0,1069305,1937,5,540068,350615,92901.90909,37861.40741,150786.828,68477.3069,37.407475,4444.943211,5,350615,27418.07692,58336.88442,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,14440084,959391,958804,961216,961237,960063.5333,960057.8667,458.198548,662.4895,2.216054,310.247503,39110,921962,465809.1613,447756.8491,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,14992388,6,0,715257,744430,13458.15799,2800.585813,48578.47405,26123.75234,430.818626,498191.3488,0,715257,2321.521833,20693.83774,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,14426198,959676,959701,964998,965118,961706.6667,961698.2,1454.29262,1494.345184,2.218187,248.436906,472,964501,465361.2258,487764.8354,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,14985750,59,4058,28666,24515,19901.39442,19892.3506,2221.520323,1709.551423,100.628931,11716.5307,7,21816,9944.094227,7347.613167,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,14995182,90,5888,73024,25073,20072.94504,19993.576,6297.243295,3425.78859,99.898754,11088.76171,90,24100,10016.82164,4742.516232,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,14960299,2,8,2466493,2470999,16173.25405,23822.09873,104827.9857,126217.8471,103.941773,114378.8637,2,2338375,9626.962033,74994.9619,3748053,7179981.0,10611909,4853479.123,1109584,1723979.5,2338375,868886.4488
