0,duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle
0,10406935,406509,350455,10000426,10000724,5203467.5,5175589.5,6783923.769,6823770.65,0.576539,25.944238,164,9649807,2081387.0,4233998.343,10000426,10000000.0,10000426,0.0,9649807,9649807.0,9649807,0.0
1,8257719,777,269524,7355194,7006497,1597790.4,1651543.8,3222517.822,2993695.532,1.453186,110.56322,22,7006497,750701.7273,2080035.521,7679678,7679678.0,7679678,0.0,7006497,7006497.0,7006497,0.0
1,10557770,11,1,282823,10000696,96011.33333,1313231.625,100486.5577,3512096.032,1.515472,701.095023,1,9981702,703851.3333,2567639.799,10557770,10600000.0,10557770,0.0,9981702,9981702.0,9981702,0.0
0,13114309,32,12,12621624,12621316,1457145.444,1176649.364,4187135.409,3796103.714,1.677557,676.20795,12,12621268,624490.9048,2749139.696,12918866,12900000.0,12918866,0.0,12621268,12600000.0,12621268,0.0
0,387,387,-1,387,-1,387.0,0.0,0.0,0.0,5167.958656,206718.3463,387,387,387.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
0,9087900,84,2,2886012,2886201,233017.5897,185457.8776,572166.1353,517831.9505,9.903278,2781.830786,2,2885829,102111.236,392816.9742,2993545,3493780.5,3994016,707439.8285,1836203,2361016.0,2885829,742197.6623
0,11398735,119,2,4291652,4240660,495597.1739,391281.3793,1136105.965,1020701.647,4.737368,1464.022104,2,4240660,215070.4717,774051.7312,2003821,2836994.25,4350898,1108691.017,1887299,2733909.25,4240660,1107658.204
0,13774441,421,24,10004717,10004444,443520.7097,280599.551,1795261.912,1434350.33,5.953055,1013.398656,13,9979314,170054.8272,1116358.339,2112757,6675488.0,11238219,6452676.062,1366738,5673026.0,9979314,6090010.893
0,221,221,-1,221,-1,221.0,0.0,0.0,0.0,9049.773756,361990.9502,221,221,221.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0
1,14382170,26,26,4137305,4137287,410918.5143,399499.6944,989015.1128,992355.531,5.075729,1351.604104,8,4137266,199752.3611,711610.8313,4244669,4718048.667,5356508,574007.8072,2731727,3493832.0,4137266,710244.3768
